smiles,identifier,price,supplier_risk,chemistry_risk,mw,logp,hbd,hba,heavy_atoms,num_rings,num_aromatic_rings,num_fused_rings,tpsa,rotatable_bonds,frag_5QRF_F9000532,frag_5QRG_XS115742,frag_5QRH_FM001763,frag_5QRI_F9000380,frag_5QRJ_F9000536,frag_5QRK_FM010104,frag_5QRL_F9000949,frag_5QRN_F9000950,frag_5QRO_F9000403,frag_5QRP_F9000414,frag_5QRQ_FM002138,frag_5QRS_F9000441,frag_5QRT_FM010020,frag_5QRV_FM002272,frag_5QRX_F9000951,frag_5QRY_FM010072,frag_5QRZ_F9000591,frag_5QS2_FM001886,frag_5QS3_FM002333,frag_5QS4_UB000200,frag_5QS5_FM002032,frag_5QS9_FM002076,frag_5QSD_FM002038,frag_5QS0_FM010026,frag_5QSA_FM001580,frag_5QSI_FM001452,frag_5QSK_FM002150,frag_5QS6_FM010013,frag_5QS8_F9000511,frag_5QSB_XS022802,frag_5QSE_F9000674,frag_5QSF_DA000167,frag_5QSG_F9000710,frag_5QT0_XS092188,frag_5QSH_F9000416,frag_5QSJ_FM002214,frag_5QSC_F9000560,matched_sites,n_fragment_hits,frag_5QRF_NUA,frag_5QRG_JHP,frag_5QRH_JMM,frag_5QRI_NUY,frag_5QRJ_NWP,frag_5QRK_NWV,frag_5QRL_NWY,frag_5QRN_NX7,frag_5QRO_NXJ,frag_5QRP_NXM,frag_5QRQ_NXS,frag_5QRR_NY1,frag_5QRS_NY4,frag_5QRT_GWA,frag_5QRU_NY7,frag_5QRV_K2M,frag_5QRW_NYV,frag_5QRX_NZG,frag_5QRY_NZD,frag_5QRZ_NZ7,frag_5QS0_NZ4,frag_5QS1_NZ1,frag_5QS2_LV4,frag_5QS3_LJA,frag_5QS4_JFP,frag_5QS5_NZJ,frag_5QS6_K0G,frag_5QS8_O0G,frag_5QS9_O0J,frag_5QSA_K2P,frag_5QSB_O0M,frag_5QSC_O0P,frag_5QSD_O0S,frag_5QSE_O0V,frag_5QSF_O0Y,frag_5QSG_O1A,frag_5QSH_NVY,frag_5QSI_O1D,frag_5QSJ_O1M,frag_5QSK_O1J,frag_5QSL_O2A,frag_5QT0_JHJ,frag_7ZK2_IU4,frag_8A7N_L9E
COc1ccccc1CN(c1c(F)ccc(OCc2ccccc2)c1F)C1CC1,AAPSYGDAVVLAEC-UHFFFAOYSA-N,375,1,high,395.44900000000007,5.7214000000000045,0,3,29,4,3,1,21.700000000000003,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1CN(c1cc(OCc2ccccc2)ccc1C(=O)O)C(C)C,AAQLLVFSOZAZOR-UHFFFAOYSA-N,885,0,high,389.4950000000001,5.687220000000005,1,3,29,3,3,1,49.769999999999996,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1c(OCc2ccccc2)cccc1N(Cc1ccccc1F)C1CC1,AAUMOZCFUUUTGQ-UHFFFAOYSA-N,590,2,medium,372.4430000000001,5.445380000000004,0,3,28,4,3,1,36.26,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(N(CCO)C2CC2)c(C)c1OCc1ccccc1,AAXDWNRUEBNKJG-UHFFFAOYSA-N,2000,1,medium,311.42499999999995,3.8435400000000035,1,3,23,3,2,1,32.7,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1COc1cccc(N(CCN(C)C)Cc2ccncc2)c1,AAXFRAOBMLGDDK-UHFFFAOYSA-N,885,2,high,375.5160000000001,4.537220000000004,0,4,28,3,3,1,28.6,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)c(N(C(CO)CO)C2CCOC2C)cc1OCc1ccccc1,ABAKOQOGLQYJOP-UHFFFAOYSA-N,1000,0,low,385.50400000000013,3.2194400000000023,2,5,28,3,2,1,62.16000000000001,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1ccc(N(Cc2cccc(F)c2)C2CC2)cc1OCc1ccccc1,ABCWSSRDPSEUOK-UHFFFAOYSA-N,125,1,low,392.4300000000002,5.481900000000005,0,4,29,4,3,1,55.61,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)C(c1ccccc1)N1CCc2c(OCc3ccccc3)cccc21,ABDHFFYTFAOUSW-UHFFFAOYSA-N,885,1,high,373.452,4.542400000000004,0,4,28,4,3,2,38.769999999999996,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCCN(CCOc1ccccc1F)c1cccc(OCc2ccc(C)cc2)c1,ABDUSMSIUNQHEP-UHFFFAOYSA-N,125,1,low,409.5010000000002,5.244920000000006,0,4,30,3,3,1,30.930000000000003,11,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(=O)c1ccncc1)c1cc(OCc2ccccc2)ccc1[N+](=O)[O-],ABKNUXKUAOFGRX-UHFFFAOYSA-N,250,1,medium,377.4000000000001,4.235500000000004,0,5,28,3,3,1,85.57000000000001,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSc1ccc(N(CCCO)Cc2ccc(F)cc2)cc1OCc1ccccc1,ABKOSXSZAOSOTC-UHFFFAOYSA-N,590,1,medium,411.5420000000001,5.515600000000005,1,4,29,3,3,1,32.7,10,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1ccc(OCc2ccccc2)cc1N(Cc1ccccc1)C1CCC1,ABKQWPUVZGRUFK-UHFFFAOYSA-N,125,1,low,388.4670000000002,5.732900000000004,0,4,29,4,3,1,55.61000000000001,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fc1ccc(N(Cc2ccccc2)CC2CC2)c(F)c1OCc1ccccc1,ABKWFZUJWYYJAY-UHFFFAOYSA-N,590,1,medium,379.45000000000016,5.960400000000005,0,2,28,4,3,1,12.47,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1COc1cc(N(CC2CC2)CC(C)(C)O)ccc1C(=O)O,ABLJITKZQGHOBT-UHFFFAOYSA-N,3000,1,high,383.48800000000006,4.259520000000003,2,4,28,3,2,1,70.0,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(=O)c1ccncc1F)c1cc(OCc2ccccc2)ccc1[N+](=O)[O-],ABMHNJLPLOXDHD-UHFFFAOYSA-N,375,1,high,395.39000000000004,4.374600000000004,0,5,29,3,3,1,85.57000000000001,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1CN(CCO)c1cc(OCc2ccccc2)ccc1OC,ABNXXVYFXZOUCB-UHFFFAOYSA-N,590,1,medium,393.48300000000006,4.281700000000003,1,5,29,3,3,1,51.16000000000001,10,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(N(CCC(=O)O)CC(=O)OC(C)(C)C)cc1OCc1ccccc1,ABPGQZYBEBUSEM-UHFFFAOYSA-N,2000,1,medium,399.48700000000014,4.196820000000003,1,5,29,2,2,1,76.07000000000001,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)c(N(C(C)C)C2CC3(COC3)C2)cc1OCc1ccccc1,ABPJKCXYVRDZAI-UHFFFAOYSA-N,3000,0,high,365.51700000000005,5.276240000000005,0,3,27,4,2,1,21.700000000000003,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=Cc1ccccc1COc1cccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)c1,ABSFHFCEWNQEDN-UHFFFAOYSA-N,2000,2,medium,399.40200000000016,4.407400000000004,1,4,30,4,3,2,83.91,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(=O)Cc1ccccc1OC)c1cccc(OCc2ccccc2)c1,ABSKHHJTDUXCDU-UHFFFAOYSA-N,250,1,medium,375.4680000000001,4.869800000000005,0,3,28,3,3,1,38.77,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(CO)N(CC(O)c1ccccc1)c1cccc(OC(F)(F)F)c1C(=O)O,ABTPFNYPJTYAKQ-UHFFFAOYSA-N,1080,1,medium,413.39200000000017,3.5943000000000023,3,5,29,2,2,1,90.23,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(C(=O)O)c(NC(=O)Nc2cncc(Cl)c2)cc1OCc1ccccc1,ABVWXTBXXDLJOP-UHFFFAOYSA-N,375,0,high,427.84400000000016,4.664800000000002,3,5,30,3,3,1,109.78,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,"F, G",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cccc(OCc2ccccc2)c1)N1CCOc2nc(I)ccc21,ABVXPZCCBDUTIA-UHFFFAOYSA-N,1080,1,medium,487.29700000000014,4.696100000000003,1,4,28,4,3,2,63.69,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,"F, G",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1ccccc1C(=O)N1CCCc2ccc(OCc3ccccc3)cc21,ACACDQKLGQNGBY-UHFFFAOYSA-N,3000,1,high,371.48,5.421000000000005,0,2,28,4,3,2,29.540000000000003,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)N(C[C@@H](O)c1ccccc1)c1cccc(OCc2ccc(F)cc2)c1,ACAKHAPPUNGBRE-XMMPIXPASA-N,590,1,medium,393.5020000000001,5.743200000000005,1,3,29,3,3,1,32.7,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ccc(N(CCO)Cc2cccs2)cc1OCc1ccccc1,ACCBSHMLJRBSAK-UHFFFAOYSA-N,250,1,medium,381.4970000000001,4.5286000000000035,1,5,27,3,3,1,49.77000000000001,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@@H](c1ccccc1)N(CCO)c1cccc(OCc2ccccc2)c1C#N,ACDUMEPXHIXKRO-IBGZPJMESA-N,885,2,high,372.4680000000001,4.697180000000004,1,4,28,3,3,1,56.49,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H](c1ccccc1)N(CCO)c1cccc(OCc2ccccc2)c1C#N,ACDUMEPXHIXKRO-LJQANCHMSA-N,885,2,high,372.4680000000001,4.697180000000004,1,4,28,3,3,1,56.49,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(c1ccccc1)N(CCO)c1cccc(OCc2ccccc2)c1C#N,ACDUMEPXHIXKRO-UHFFFAOYSA-N,1620,2,high,372.4680000000001,4.697180000000004,1,4,28,3,3,1,56.49,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N#Cc1ccccc1CN1CCc2c(OCc3ccccc3)cccc21,ACGFYMREHNKDIN-UHFFFAOYSA-N,590,1,medium,340.426,4.699980000000004,0,3,26,4,3,2,36.260000000000005,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(CO)CN(Cc1ccccc1)c1cc(OCc2ccccc2)cc2ncsc12,ACGXTCADPLDLSR-UHFFFAOYSA-N,250,1,medium,418.5620000000001,5.510300000000004,1,5,30,4,4,2,45.59,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1ccc(N(CCO)CCO)cc1OCc1ccccc1C,ACHWZHHCCNPKNO-UHFFFAOYSA-N,590,0,medium,343.423,2.5676200000000007,2,5,25,2,2,1,70.00000000000001,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1CN(c1cc(OCc2ccccc2)ccc1C)C1CC1,ACIYWRFJQLICNH-UHFFFAOYSA-N,590,1,medium,373.4960000000001,5.751620000000005,0,3,28,4,3,1,21.700000000000003,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCN(Cc1ccncc1)c1cc(OCc2ccccc2)c(F)c(SC)c1,ACJDVBRTPPIQPD-UHFFFAOYSA-N,885,1,high,396.53100000000006,5.938200000000005,0,4,28,3,3,1,25.360000000000003,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CCOc1ccccc1F)c1cc(C)cc(OCc2ccccc2F)c1,ACJXAVPOVPSAIJ-UHFFFAOYSA-N,885,1,high,397.46500000000015,5.757520000000005,0,3,29,3,3,1,21.700000000000003,9,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(C2CCC2)nc1)Nc1cccc(OCc2ccccc2)c1,ACQYXPVEMGISQZ-UHFFFAOYSA-N,590,1,medium,373.4560000000001,5.572100000000004,2,3,28,4,3,1,63.25,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,"F, G",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(CC(O)COCc1ccccc1)c1cccc(OCc2ccccc2)c1,ACSOESIYVUSMBV-UHFFFAOYSA-N,590,2,medium,391.51100000000014,4.6696000000000035,1,4,29,3,3,1,41.93000000000001,11,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCCN(c1cccc(OC(F)(F)F)c1C(=O)O)[C@@H](C)c1ccccc1,ACUFQEUPIDEUSA-AWEZNQCLSA-N,590,1,medium,379.378,5.427100000000005,1,3,27,2,2,1,49.769999999999996,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCCN(c1cccc(OC(F)(F)F)c1C(=O)O)[C@H](C)c1ccccc1,ACUFQEUPIDEUSA-CQSZACIVSA-N,590,1,medium,379.378,5.427100000000005,1,3,27,2,2,1,49.769999999999996,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,"F, G",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
